# x_m, y_m, w_tr_right_m, w_tr_left_m
0.0, 0.0, 1.1, 1.1
0.3867933489670033, -0.2398421710473346, 1.1, 1.1
0.7733083699283996, -0.48013110543243837, 1.1, 1.1
1.1594104056645789, -0.7210773928435551, 1.1, 1.1
1.54496498104821, -0.9628914408766899, 1.1, 1.1
1.929837529905815, -1.2057837481739644, 1.1, 1.1
2.3140388867263324, -1.4497268188054835, 1.1, 1.1
2.698189621901077, -1.693694562937011, 1.1, 1.1
3.0830700007254803, -1.9363997704464113, 1.1, 1.1
3.46946019744883, -2.176554867027047, 1.1, 1.1
3.858140386320426, -2.412872460464533, 1.1, 1.1
4.24989092368182, -2.644065158544486, 1.1, 1.1
4.645491892736179, -2.8688454780063943, 1.1, 1.1
5.045429661885849, -3.0863751571729012, 1.1, 1.1
5.44788349071336, -3.299340329884249, 1.1, 1.1
5.849943818186522, -3.5120906337394473, 1.1, 1.1
6.248692980167962, -3.72898790651832, 1.1, 1.1
6.640733135254527, -3.9550970441817097, 1.1, 1.1
7.021533281965232, -4.197141529958454, 1.1, 1.1
7.3863993552083445, -4.462083934202906, 1.1, 1.1
7.73123209422994, -4.75603190415111, 1.1, 1.1
8.06152968350204, -5.071304788656988, 1.1, 1.1
8.390549895633566, -5.389073702693088, 1.1, 1.1
8.731772837871858, -5.6901905535160076, 1.1, 1.1
9.095399227070338, -5.960135122940834, 1.1, 1.1
9.47769617208404, -6.2040524275188424, 1.1, 1.1
9.871231031412725, -6.432309252236344, 1.1, 1.1
10.268639539196375, -6.655176510509524, 1.1, 1.1
10.665570965282479, -6.878721789279202, 1.1, 1.1
11.061799788418199, -7.103258560355435, 1.1, 1.1
11.457398481319412, -7.328684669985424, 1.1, 1.1
11.852439516702033, -7.554897873370245, 1.1, 1.1
12.246995276235799, -7.781796107803234, 1.1, 1.1
12.641138141590487, -8.00927712848546, 1.1, 1.1
13.034940585481976, -8.237238781664137, 1.1, 1.1
13.428475080626166, -8.465578913586455, 1.1, 1.1
13.821814008692805, -8.694195370499632, 1.1, 1.1
14.215029751351654, -8.922985998650864, 1.1, 1.1
14.608194781318609, -9.151848644287357, 1.1, 1.1
15.001381571309555, -9.38068106261019, 1.1, 1.1
15.394662502994262, -9.609381190912684, 1.1, 1.1
15.788109958042472, -9.837846784395932, 1.1, 1.1
16.181780476098137, -10.065998268746245, 1.1, 1.1
16.575661037565297, -10.293853489004224, 1.1, 1.1
16.969720231530655, -10.521456420448482, 1.1, 1.1
17.363926556034812, -10.748851402542119, 1.1, 1.1
17.758248418072206, -10.976082410563764, 1.1, 1.1
18.152654315683424, -11.203193601884264, 1.1, 1.1
18.547112655862914, -11.43022904282836, 1.1, 1.1
18.941591936651278, -11.657232981813033, 1.1, 1.1
19.336060747135207, -11.884249394116903, 1.1, 1.1
19.730487403263037, -12.11132252815695, 1.1, 1.1
20.12484040307535, -12.338496450257912, 1.1, 1.1
20.519088335658846, -12.56581522674452, 1.1, 1.1
20.913199516961864, -12.793323014987646, 1.1, 1.1
21.307142536071105, -13.021063972358137, 1.1, 1.1
21.70076489072638, -13.249256245372669, 1.1, 1.1
22.091859531799763, -13.481075796026603, 1.1, 1.1
22.476501551867642, -13.722171490129643, 1.1, 1.1
22.85071341884586, -13.978268399098534, 1.1, 1.1
23.211779135765017, -14.253258744797856, 1.1, 1.1
23.56253114758902, -14.542976984894308, 1.1, 1.1
23.907325738284033, -14.84104415469792, 1.1, 1.1
24.250482955458295, -15.141135461963351, 1.1, 1.1
